#separator:;
#html:true
#notetype:Basic
#deck:ENCAPS::Cifras
#tags column:3
#columns:Frente;Reverso;Tags
Fases del ciclo de planeamiento estratégico (CEPLAN): ¿qué fase es el análisis de la situación actual y cuál diseña objetivos y acciones?;<b>Fase 1</b> = análisis/conocimiento integral de la situación actual · <b>Fase 3</b> = políticas y planes coordinados (diseño de objetivos y acciones estratégicas) · Fase 2 = futuro deseado · Fase 4 = seguimiento y evaluación.;ENCAPS::Cifras cod::V-2 critico fuente::2025-1A-Q15 fuente::2025-2-Q29
Lo PRIMERO que hace el serumista para desarrollar el POI al llegar al EESS:;<b>Análisis situacional</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2024-2A-Q76
FODA: regla interno/externo y 4 ejemplos del examen.;Interno → <b>Fortalezas / Debilidades</b> · Externo → <b>Oportunidades / Amenazas</b>.<br>ACS que participan en control vectorial = fortaleza (Q19) · personal con maestrías = fortaleza y técnico regidor = oportunidad (Q89) · costumbres negativas de la población = amenaza (2025-1A Q62).;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q19 fuente::2026-II-Q89 fuente::2025-1A-Q62
Misión vs Visión:;<b>Misión</b> = razón de ser, lo que se hace HOY (orienta prioridades y objetivos estratégicos) · <b>Visión</b> = futuro deseado compartido.;ENCAPS::Cifras cod::V-2 critico fuente::2025-1A-Q72 fuente::2025-1A-Q73
Clima organizacional (definición SERVIR):;<b>Percepción colectiva de satisfacción de los servidores civiles sobre el ambiente de trabajo</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q100
Gestión del clima organizacional: ¿en cuántas y cuáles fases se divide?;<b>3 fases: planificación, intervención y evaluación</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q62
Dimensiones del clima organizacional que ha preguntado el examen:;<b>Toma de decisiones</b> (jefe no autoriza reunión, 2026-II Q11) · <b>Conflicto y cooperación</b> (nivel de colaboración y apoyos, 2024-2A Q73) · otras: estructura, recompensa, identidad, comunicación, confort.;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q11 fuente::2024-2A-Q73
Cultura organizacional: definición y criterio que la diferencia del clima.;Forma característica de pensar y hacer (principios, valores, creencias, normas), <b>tiene carácter duradero</b>. El clima es una percepción cambiante.;ENCAPS::Cifras cod::V-2 critico fuente::2025-1A-Q51 fuente::2025-2-Q58
Evaluación y mejora continua de la atención con usuarios satisfechos: ¿a qué proceso pertenece?;<b>Gestión de la calidad</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q82
Buzón de sugerencias del plan anual de calidad: frecuencia de apertura.;<b>Mensual</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2024-2A-Q26
Acreditación de EESS: fases y umbrales.;Fases: <b>autoevaluación + evaluación externa</b>. ≥ 85 % → puede acreditar por evaluación externa · 70-84 % no aprobado, <b>6 meses</b> para corregir. I-4: <b>22 macroprocesos</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2024-2A-Q43 fuente::2024-2A-Q67 fuente::compendio-Lopez-GES
Recipiente de PUNZOCORTANTES: volumen máximo de llenado antes de cambiarlo.;<b>3/4 partes</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q83
Colores de bolsa en residuos sólidos hospitalarios (rojo / amarillo / negro):;<b>Rojo = biocontaminados</b> (clase A) · <b>Amarillo = especiales</b> (clase B: químicos, farmacéuticos, radiactivos) · <b>Negro = comunes</b> (clase C).;ENCAPS::Cifras cod::V-2 critico fuente::2026-II-Q8 fuente::compendio-Lopez-SP
Medicamentos vencidos: ¿qué tipo de residuo son?;<b>Especiales</b> (bolsa amarilla).;ENCAPS::Cifras cod::V-2 critico fuente::2024-2A-Q28
Residuos comunes tipo C2: ejemplos.;<b>Madera, placas radiológicas, frascos de suero sin equipo de venoclisis</b> y todo lo que no tuvo contacto con pacientes ni está contaminado.;ENCAPS::Cifras cod::V-2 critico fuente::2025-2-Q72
Ambiente obligatorio en los planos de un futuro EESS I-3 según norma de residuos:;<b>Zona de selección de residuos sólidos</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2025-1A-Q26
Requerimiento de RRHH: ¿qué documentos de gestión se usan para evaluar la brecha y para definir el perfil del cargo?;Brecha: <b>ROF - CAP</b> · Perfil del cargo: <b>MOF</b> · Contrato CAS: plaza dentro del <b>CAP</b>.;ENCAPS::Cifras cod::V-2 critico fuente::2024-2A-Q41 fuente::2024-2A-Q25 fuente::2025-2-Q53
EESS de categoría I-2: personal mínimo y UPSS.;<b>Médico, enfermera, obstetra y técnico de enfermería</b>, solo UPSS <b>consulta externa</b> (intra y extramural).;ENCAPS::Cifras cod::V-1 fuente::2024-2A-Q79 fuente::2025-1A-Q38 fuente::2025-2-Q82
Pasar de I-2 a I-3: ¿qué profesionales/personal incorpora? ¿Qué UPSS lo define?;<b>Odontología y laboratorio</b> (UPSS <b>patología clínica</b>).;ENCAPS::Cifras cod::V-1 fuente::2026-II-Q10 fuente::2025-2-Q42
Categorización de EESS: ¿quién asigna la categoría y cuánto dura el acto resolutivo?;El <b>Comité Técnico de Categorización</b>, resolución con vigencia de <b>3 años</b>.;ENCAPS::Cifras cod::V-1 fuente::2025-2-Q13 fuente::compendio-Lopez-GES
Referencia a otro EESS: ¿qué debe evaluar antes? ¿Vigencia de la hoja de referencia para consulta externa?;La <b>cartera de servicios</b> del destino · hoja de referencia (original + 2 copias) vigente <b>60 días</b>.;ENCAPS::Cifras cod::V-1 fuente::2025-1A-Q23 fuente::compendio-Lopez-GES
Contrarreferencia de un paciente cuyo problema se resolvió PARCIALMENTE y continúa tratamiento en origen:;Condición <b>“mejorado”</b> (no curado, no deserción).;ENCAPS::Cifras cod::V-1 fuente::2025-1A-Q16
RIS: 4 dimensiones y a cuál pertenece “primer nivel como puerta de entrada”.;<b>Gobernanza, gestión, prestación y financiamiento</b>. Puerta de entrada = dimensión de <b>prestación</b>.;ENCAPS::Cifras cod::V-3 fuente::2026-II-Q2 fuente::2025-2-Q39
Gestión de recursos humanos (definición):;Capacidad de mantener a la organización <b>productiva, eficiente y eficaz</b> a partir del uso adecuado de su recurso humano, con las personas y sus relaciones como objetivo.;ENCAPS::Cifras cod::V-RRHH fuente::2026-II-Q58
Proceso que socializa y facilita la adaptación planificada de quien ingresa a un puesto (información del Estado, la entidad, normas y el puesto):;<b>Inducción</b>.;ENCAPS::Cifras cod::V-RRHH fuente::2024-2A-Q94
TELESALUD (Ley 30421): definición.;Servicio de salud a distancia prestado por personal competente a través de las <b>TIC</b>, para que los servicios sean accesibles y oportunos.;ENCAPS::Cifras cod::V-6 fuente::2026-II-Q84
Teleconsulta / Teleorientación / Telemonitoreo / Teleinterconsulta: cuatro definiciones en una línea cada una.;<b>Teleconsulta</b> = atención con dx/tto · <b>Teleorientación</b> = consejería y asesoría · <b>Telemonitoreo</b> = seguimiento a distancia de datos clínicos · <b>Teleinterconsulta</b> = personal de salud → profesional de salud, la persona usuaria puede estar <b>presente o no</b>.;ENCAPS::Cifras cod::V-6 fuente::2026-II-Q93 fuente::2025-1A-Q65 fuente::2025-2-Q60
Contrataciones del Estado: el jefe del EESS que hace el requerimiento y los términos de referencia es el…;<b>Área usuaria</b>.;ENCAPS::Cifras cod::V-MED fuente::2026-II-Q69
Estudio de mercado para comprar un dispositivo médico: cotizaciones mínimas.;<b>3</b>.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q21
Causal de exclusión de proveedores adjudicatarios:;Estar <b>impedido de contratar con el Estado</b>.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q17
Medicamentos ESENCIALES: definición.;Cubren la mayor parte de la morbilidad del país y han demostrado ser <b>seguros, eficaces y costo-efectivos</b> (PNUME), deben estar disponibles en todo momento.;ENCAPS::Cifras cod::V-MED fuente::2026-II-Q71 fuente::2025-1A-Q30
Farmacovigilancia: método más común para identificar sospechas de RAM.;<b>Sistema de notificaciones espontáneas</b>. Plazos: RAM grave 24 h · moderada/leve 72 h (Theomed SP). Rector: <b>DIGEMID</b> (Centro Nacional de Farmacovigilancia).;ENCAPS::Cifras cod::V-MED fuente::2026-II-Q76 fuente::2024-2A-Q13 fuente::Theomed-SP
Uso racional de medicamentos (definición):;Medicación <b>adecuada a la necesidad clínica, dosis según requisitos individuales, tiempo adecuado y al menor costo</b> para el paciente y la comunidad.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q96
Abastecimiento adecuado de productos farmacéuticos: meses de stock disponible.;<b>6 meses</b>.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q30
Disponibilidad óptima esperada de medicamentos esenciales en la farmacia (indicador):;<b>90 % a 100 %</b>.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q39
Productos vencidos hallados en inventario: ¿dónde se almacenan para baja/destrucción? ¿Qué hace el EESS al recibirlos?;Almacén <b>central</b> (baja y destrucción final) · en el EESS: <b>devolver a farmacia con informe</b>.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q3 fuente::2025-2-Q10
Sistema de información con el que las farmacias MINSA remiten el consumo integrado de medicamentos:;<b>SISMED</b> (DIGEMID regula/define esenciales · CENARES compra y abastece).;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q32 fuente::compendio-Lopez-GES
Custodia del oxígeno medicinal en el EESS: ¿qué profesional?;<b>Químico farmacéutico</b>.;ENCAPS::Cifras cod::V-MED fuente::2024-2A-Q15
Historia clínica: años en ARCHIVO ACTIVO desde la última atención (luego pasa al pasivo).;<b>5 años</b>.;ENCAPS::Cifras cod::III-8 critico fuente::2026-II-Q81 fuente::2025-1A-Q60 fuente::compendio-Lopez-GES
Copia autenticada de la historia clínica solicitada por el usuario o el Ministerio Público: plazo máximo de entrega.;<b>5 días</b> (el costo lo paga el solicitante).;ENCAPS::Cifras cod::III-8 fuente::2025-1A-Q13 fuente::2025-2-Q24 fuente::compendio-Lopez-GES
Pérdida total o parcial de una historia clínica: ¿quién es el responsable?;<b>Quien la recibió por última vez</b>.;ENCAPS::Cifras cod::III-8 fuente::2025-1A-Q32
Ley 27815: “no adoptar represalias ni ejercer coacción contra otros servidores” es el deber de…;<b>Ejercicio adecuado del cargo</b> (deber).;ENCAPS::Cifras cod::III-8 fuente::2026-II-Q30
Ley 27815: “no ejercer presiones, amenazas o acoso sexual contra otros servidores o subordinados” corresponde a…;<b>Una prohibición ética</b> (no un principio ni un deber).;ENCAPS::Cifras cod::III-8 fuente::2026-II-Q86
Ley 27815: principios, deberes y prohibiciones (lista para distinguirlos TEXTUALMENTE).;<b>Principios</b>: respeto, probidad, eficiencia, idoneidad, veracidad, lealtad y obediencia, justicia y equidad, lealtad al Estado de Derecho.<br><b>Deberes</b>: neutralidad, transparencia, discreción, ejercicio adecuado del cargo, uso adecuado de los bienes del Estado (proteger y conservar), responsabilidad.<br><b>Prohibiciones</b>: intereses en conflicto, ventajas indebidas, presiones/amenazas/acoso, información privilegiada, actividad política proselitista.;ENCAPS::Cifras cod::III-8 fuente::compendio-Lopez-ET fuente::2025-1A-Q48 fuente::2025-2-Q85 fuente::2025-2-Q06
Deber del servidor que guarda reserva sobre el tratamiento de planificación familiar de la esposa de quien lo exige:;<b>Discreción</b>.;ENCAPS::Cifras cod::III-8 fuente::2025-2-Q78
Formato de RETIRO VOLUNTARIO (madre rechaza hidratación parenteral de su hijo): ¿qué debe contener?;<b>Datos de identificación de la persona legalmente responsable que solicita el alta</b> (cuando no es el paciente). No requiere autorización del jefe del EESS.;ENCAPS::Cifras cod::III-3 fuente::2026-II-Q15
Familiar rechaza la referencia URGENTE de una paciente con ACV: medida de urgencia del médico.;<b>Solicitar la intervención del Ministerio Público</b>.;ENCAPS::Cifras cod::III-3 fuente::2026-II-Q57
Consentimiento informado POR ESCRITO (Ley 29414): ¿en qué casos?;Pruebas riesgosas, intervenciones quirúrgicas, anticoncepción quirúrgica, procedimientos que puedan afectar psíquica o físicamente, <b>participación en docencia</b> e investigación.;ENCAPS::Cifras cod::III-3 fuente::2024-2A-Q45 fuente::compendio-Lopez-ET
Estudio en menores en un colegio: documento que firman los PADRES.;<b>Consentimiento informado</b> (el asentimiento lo da el menor, además, no en lugar).;ENCAPS::Cifras cod::III-3 fuente::2025-1A-Q44
Derecho a una SEGUNDA OPINIÓN médica: ¿a qué categoría de derecho pertenece (Ley 29414)?;<b>Acceso a los servicios de salud</b>. Mismo grupo: adulto mayor indigente sin documentos → acceso a servicios (2025-1A Q89).;ENCAPS::Cifras cod::III-9 fuente::2026-II-Q70 fuente::2025-1A-Q89
Racionamiento de mascarillas/UCI en pandemia: ¿a qué principio de la ética de la salud pública pertenece el conflicto?;<b>Justicia</b> (distributiva).;ENCAPS::Cifras cod::III-1 fuente::2026-II-Q77
Paciente informado que rechaza cirugía y quimioterapia, usted respeta su decisión: principio.;<b>Autonomía</b>.;ENCAPS::Cifras cod::III-1 fuente::2025-2-Q40
Psicólogo difunde en su equipo el diagnóstico “equivocado” de un colega y este recibe burlas: falta deontológica.;<b>Críticas entre colegas</b>.;ENCAPS::Cifras cod::III-2 fuente::2026-II-Q12
Deontología: ¿con qué debe contar un profesional de la salud para ejercer?;<b>Título profesional y colegiatura</b>.;ENCAPS::Cifras cod::III-2 fuente::2025-1A-Q70
Categoría retirada de los registros civiles en el siglo XX cuya ausencia impide distinguir la salud de la población indígena:;Pertenencia <b>étnica</b>.;ENCAPS::Cifras cod::III-5 critico fuente::2026-II-Q29
Pertinencia cultural en los servicios de salud: 4 dimensiones.;1) Gestión para la calidad de la atención · 2) Revaloración del sistema de salud tradicional · 3) RRHH que promueven la salud intercultural · 4) <b>Participación ciudadana</b>. (La guía decía “atención intercultural”: ERROR.);ENCAPS::Cifras cod::III-5 critico fuente::2025-1A-Q76 fuente::Theomed-ET
Establecimiento de salud CON pertinencia cultural: ¿qué porcentaje de criterios debe cumplir?;Más del <b>80 %</b> de los criterios evaluados.;ENCAPS::Cifras cod::III-5 critico fuente::compendio-Lopez-ET
Inclusión social (definición):;Situación en la que todas las personas pueden <b>ejercer sus derechos, aprovechar sus habilidades y tomar ventaja de las oportunidades</b> de su medio.;ENCAPS::Cifras cod::III-5 critico fuente::2026-II-Q38
Preparaciones herbarias, acupuntura, quiropráctica usadas por pacientes crónicos: ¿qué tipo de práctica es?;<b>Medicina tradicional y complementaria</b>.;ENCAPS::Cifras cod::III-5 critico fuente::2026-II-Q64
Atención acorde a los patrones culturales de los pueblos indígenas exige formación básica del personal en…;<b>interculturalidad</b>.;ENCAPS::Cifras cod::III-5 critico fuente::2026-II-Q74
Usuaria con “brujería”/cuy negro y trastorno ansioso: ¿qué hace el psicólogo para que acepte el manejo?;<b>Reducir las barreras culturales</b> (no reforzar el esquema ni referir a psiquiatría).;ENCAPS::Cifras cod::III-5 critico fuente::2026-II-Q95
Ejemplos de pertinencia cultural / principios interculturales que el examen ya usó:;Parto vertical (2025-2 Q47/Q100) · traductor en comunidad aimara = <b>diversidad cultural</b> (2025-2 Q18) · charla en quechua sobre diversidad étnica = <b>prevención de la discriminación</b> (2025-2 Q69) · patrones alimentarios propios = <b>etnocentrismo</b> (2024-2A Q77).;ENCAPS::Cifras cod::III-5 critico fuente::2025-2-Q47 fuente::2025-2-Q18 fuente::2025-2-Q69 fuente::2024-2A-Q77
Investigación en salud = generación de conocimientos nuevos mediante la aplicación del…;<b>método científico</b> (enfoque sistemático: pensamiento reflexivo y ordenado).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2026-II-Q44 fuente::2026-II-Q56
Problema de investigación que recoge frecuencia, características, condiciones y prevalencia: tipo.;<b>Descriptivo</b>. (Analítico busca asociación · experimental establece causalidad).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2026-II-Q21 fuente::2026-II-Q63
Principal LIMITANTE de un estudio descriptivo:;<b>No permite hallar asociación entre variables</b>.;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2025-1A-Q35
Efecto de los macrólidos en bronquiolitis: tipo de estudio adecuado.;<b>Analítico experimental</b> (el investigador controla el factor). Magnitud de una enfermedad = descriptivo transversal (2024-2A Q68).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2024-2A-Q20 fuente::2024-2A-Q68
Medir Hb y peso a todos los alumnos un día para relacionar anemia y peso: ¿método? ¿enfoque?;Método <b>observacional</b> (2025-1A Q24) · enfoque <b>cuantitativo</b> (2025-1A Q85). Entrevistas en profundidad y relatos = <b>cualitativo</b> (2025-2 Q27).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2025-1A-Q24 fuente::2025-1A-Q85 fuente::2025-2-Q27
Muestreo no probabilístico para inmigrantes ilegales cuyo número y localización se desconocen:;<b>Bola de nieve</b> (un participante refiere a otros). Cuotas = proporciones predeterminadas · Conveniencia = los más accesibles.;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2026-II-Q18 fuente::compendio-Lopez-INV
Estimar prevalencia de neumonía en escolares controlando el SESGO DE SELECCIÓN: tipo de muestreo.;<b>Aleatorio simple</b> (probabilístico).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2024-2A-Q34
Cuestionario estructurado aplicado a niños con anemia: ¿qué es?;<b>Instrumento de recolección de datos</b> (instrumento de medición).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2026-II-Q66 fuente::2024-2A-Q81
Requisitos esenciales de todo instrumento: ¿cuáles son los tres? ¿Qué mide “resultados consistentes y coherentes”? ¿Y la opinión favorable de expertos?;Tres: <b>confiable, válido y objetivo</b>. Consistencia = <b>confiabilidad</b>. Juicio de expertos = <b>validez</b> (mide lo que pretende medir).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2024-2A-Q51 fuente::2024-2A-Q22 fuente::2025-2-Q59
Población vs muestra:;<b>Población</b> = conjunto al que se quiere medir la distribución de variables · <b>Muestra</b> = subgrupo representativo del que se recolectan los datos.;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2024-2A-Q12 fuente::2024-2A-Q35
Lo PRIMERO al plantear una investigación (baja adherencia a lactancia):;<b>Revisar la literatura científica</b> sobre el tema (antes de pregunta, objetivos e instrumentos).;ENCAPS::Cifras cod::IV-1+IV-2 critico fuente::2025-1A-Q07
Investigador suprime casos, modifica medidas y altera parámetros estadísticos para conclusiones favorables:;<b>Fraude científico</b> (vs publicación redundante, autoría fantasma, conflicto de intereses).;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2026-II-Q9
Partes del informe: “suscinta, toda la información, límite de palabras” / “define y conceptualiza las variables con posición del investigador” / “plausibilidad, puntos fuertes y débiles frente a otros estudios”.;<b>Resumen</b> (Q35) · <b>Marco teórico y conceptual</b> (Q75) · <b>Discusión</b> (Q87). Instrumento + validez + confiabilidad van en <b>Metodología</b> (2025-1A Q67).;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2026-II-Q35 fuente::2026-II-Q75 fuente::2026-II-Q87 fuente::2025-1A-Q67
Herramienta para verificar que todas las secciones del informe sean coherentes entre sí:;<b>Matriz de consistencia</b>.;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2025-1A-Q40
Estudio que no usa datos primarios sino los recogidos por otros estudios:;<b>Revisión sistemática</b>.;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2024-2A-Q53
Medidas de tendencia central: moda / mediana / media (definiciones de examen).;<b>Moda</b> = valor que más se repite (Q60) · <b>Mediana</b> = valor central ordenado (no la afectan extremos) · <b>Media</b> = suma de datos / n (2025-1A Q59).;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2026-II-Q60 fuente::2025-1A-Q59
Medida de dispersión asociada a la media:;<b>Desviación estándar</b>.;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2024-2A-Q09
Datos cuantitativos DISCRETOS:;Valores individuales que <b>solo aceptan números enteros</b>.;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2024-2A-Q97
Análisis para investigar si hay ASOCIACIÓN entre alcoholismo y violencia familiar:;Estadística <b>inferencial</b>.;ENCAPS::Cifras cod::IV-6+IV-7 fuente::2025-1A-Q18
Equipo multidisciplinario que actúa de forma integral, continuada, permanente, en la comunidad, con promoción y prevención: estrategia.;<b>Atención primaria de salud</b> (APS).;ENCAPS::Cifras cod::I-10 fuente::2026-II-Q40
Visitas domiciliarias + ampliar horarios + coordinar el cuidado según necesidades: ¿qué atributos de la APS?;<b>Accesibilidad y continuidad del cuidado</b>. Otros: primer contacto, integralidad (promoción→rehabilitación, 2025-2 Q88), coordinación.;ENCAPS::Cifras cod::I-10 fuente::2026-II-Q45 fuente::2025-2-Q88
Equidad en salud (definición): acceso al cuidado cuando se requiere, sin alteración por razones evitables e injustas.;<b>Equidad en salud</b> (no universalidad).;ENCAPS::Cifras cod::I-10 fuente::2025-1A-Q84
Fuente de datos para información en salud basada en la población: registro de…;<b>hechos vitales</b> (nacimientos, defunciones).;ENCAPS::Cifras cod::I-5+I-6 fuente::2026-II-Q13
Transición epidemiológica (Omran 1971): de enfermedades …… a enfermedades ……, ¿qué cambio representan Wolbachia y la vacuna del dengue?;De <b>infecciosas</b> a <b>crónicas</b>. Wolbachia/vacuna = <b>impacto de la investigación científica</b>.;ENCAPS::Cifras cod::I-5+I-6 fuente::2025-1A-Q11 fuente::2026-II-Q92
Determinantes sociales: violencia física atendida por psicología / programa JUNTOS / sedentarismo-alcohol: tipo.;Violencia = <b>estructural</b> (2025-1A Q98) · JUNTOS = <b>estructural por clase social</b> (2025-2 Q74) · sedentarismo, dieta, alcohol = <b>estilos de vida</b> (2025-2 Q11).;ENCAPS::Cifras cod::I-5+I-6 fuente::2025-1A-Q98 fuente::2025-2-Q74 fuente::2025-2-Q11
¿Quién elabora el plan local de salud (metas, determinantes, recursos, actores)?;<b>La autoridad local de salud</b>. El PSL es participativo, anual y lo conduce la <b>CLAS</b> con los jefes de EESS (2025-2 Q96).;ENCAPS::Cifras cod::I-11+I-12 fuente::2026-II-Q48 fuente::2025-2-Q96
Comunicación sobre dengue en peluquerías, ferias y radios locales: ¿qué se está haciendo? ¿Y reuniones con alcalde/comisario/párroco?;<b>Alianzas estratégicas</b> (Q88, 2025-1A Q94) · <b>Intersectorialidad</b> (2025-2 Q28/Q93).;ENCAPS::Cifras cod::I-11+I-12 fuente::2026-II-Q88 fuente::2025-2-Q93
Riesgo profesional (salud ocupacional): posibilidad de accidente o enfermedad…;<b>con vínculo laboral vigente</b>.;ENCAPS::Cifras cod::I-OCC fuente::2026-II-Q50
Sobrecarga de trabajo, mala comunicación y turnos inequitativos que causan estrés laboral: factor de riesgo.;<b>Psicosocial</b> (físico = ruido/temperatura · biológico = agentes · ergonómico = posturas/cargas).;ENCAPS::Cifras cod::I-OCC fuente::2026-II-Q54 fuente::compendio-Lopez-SP
Promoción de estilos de vida en el colegio con el equipo del EESS = escuelas ……, cocinas sin humo = ……;<b>saludables</b> (Q72) · <b>viviendas saludables</b> (2025-2 Q37). La familia es la unidad de <b>intervención</b> de mayor eficacia (2025-1A Q58).;ENCAPS::Cifras cod::I-1 fuente::2026-II-Q72 fuente::2025-2-Q37 fuente::2025-1A-Q58
Promoción de la salud (definición de Ottawa usada por el examen): ofrecer a los pueblos vías y medios para …… los problemas de salud.;<b>atenuar o eliminar</b> (la guía decía “controlar o mantener”: ERROR).;ENCAPS::Cifras cod::I-1 fuente::2025-1A-Q41
Niveles de prevención con ejemplos de examen:;<b>Primaria</b> = dieta a familia con riesgo (2024-2A Q85) · <b>específica</b> = aumentar cobertura de inmunización (2024-2A Q78) · <b>secundaria</b> = detección en fase subclínica · <b>terciaria</b> = reducir secuelas y discapacidad (2025-1A Q100).;ENCAPS::Cifras cod::I-1 fuente::2024-2A-Q85 fuente::2024-2A-Q78 fuente::2025-1A-Q100
Efectividad (definición): grado en que un programa puesto en práctica logra lo que pretende en una población determinada.;<b>Efectividad</b> (eficacia = en condiciones ideales · eficiencia = con el menor costo).;ENCAPS::Cifras cod::I-2 fuente::2024-2A-Q71
Sectorizar la jurisdicción para promoción y prevención según el MCI, en el marco de las FESP renovadas, corresponde a la etapa de:;<b>Acceso</b> (FESP: evaluación, desarrollo de políticas, asignación de recursos, acceso).;ENCAPS::Cifras cod::I-2 fuente::2025-1A-Q39
